antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ALT=wysoki', 'Mean Corpuscular Hemoglobin Concentration=średni-dolny'})",frozenset({'Disease=Diabetes'}),0.05274351339855381,0.22968949383241175,0.05274351339855381,1.0,4.353703703703704,1.0,0.04062888250309696,inf,0.8132016165244724,0.22962962962962966,1.0,0.6148148148148148
"frozenset({'HDL Cholesterol=średni-górny', 'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Troponin=średni-dolny'})",frozenset({'Disease=Anemia'}),0.05061675882603148,0.26499361973628244,0.05061675882603148,1.0,3.773675762439807,1.0,0.037203640685402974,inf,0.7741935483870968,0.19101123595505617,1.0,0.5955056179775281
"frozenset({'HDL Cholesterol=średni-górny', 'Troponin=średni-dolny'})","frozenset({'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Disease=Anemia'})",0.05061675882603148,0.09953211399404509,0.05061675882603148,1.0,10.047008547008547,1.0,0.04557876581654982,inf,0.9484767025089605,0.5085470085470086,1.0,0.7542735042735043
"frozenset({'HDL Cholesterol=średni-górny', 'Troponin=średni-dolny', 'Red Blood Cells=niski'})",frozenset({'Disease=Anemia'}),0.05061675882603148,0.26499361973628244,0.05061675882603148,1.0,3.773675762439807,1.0,0.037203640685402974,inf,0.7741935483870968,0.19101123595505617,1.0,0.5955056179775281
"frozenset({'HDL Cholesterol=średni-górny', 'Troponin=średni-dolny'})","frozenset({'Disease=Anemia', 'Red Blood Cells=niski'})",0.05061675882603148,0.1382390472139515,0.05061675882603148,1.0,7.233846153846154,1.0,0.043619546312862516,inf,0.9077060931899642,0.3661538461538462,1.0,0.6830769230769231
"frozenset({'Heart Rate=wysoki', 'Glucose=niski', 'Mean Corpuscular Volume=średni-górny'})",frozenset({'Disease=Anemia'}),0.05019140791152701,0.26499361973628244,0.05019140791152701,1.0,3.773675762439807,1.0,0.03689100504939118,inf,0.7738468428123602,0.18940609951845905,1.0,0.5947030497592295
"frozenset({'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Glucose=niski', 'Hemoglobin=niski'})",frozenset({'Disease=Anemia'}),0.052318162484049344,0.26499361973628244,0.052318162484049344,1.0,3.773675762439807,1.0,0.038454183229450135,inf,0.7755834829443448,0.19743178170144463,1.0,0.5987158908507223
"frozenset({'Red Blood Cells=niski', 'Glucose=niski', 'Hemoglobin=niski'})",frozenset({'Disease=Anemia'}),0.052318162484049344,0.26499361973628244,0.052318162484049344,1.0,3.773675762439807,1.0,0.038454183229450135,inf,0.7755834829443448,0.19743178170144463,1.0,0.5987158908507223
"frozenset({'HDL Cholesterol=średni-górny', 'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Hemoglobin=niski'})",frozenset({'Disease=Anemia'}),0.052318162484049344,0.26499361973628244,0.052318162484049344,1.0,3.773675762439807,1.0,0.038454183229450135,inf,0.7755834829443448,0.19743178170144463,1.0,0.5987158908507223
"frozenset({'Insulin=niski', 'Creatinine=średni-dolny'})","frozenset({'Disease=Anemia', 'Heart Rate=średni-górny'})",0.061675882603147596,0.1305827307528711,0.061675882603147596,1.0,7.657980456026059,1.0,0.053622077431235086,inf,0.9265639165911151,0.47231270358306193,1.0,0.7361563517915309
"frozenset({'Creatinine=średni-dolny', 'Troponin=średni-dolny', 'Heart Rate=średni-górny'})",frozenset({'Disease=Anemia'}),0.05614632071458953,0.26499361973628244,0.05614632071458953,1.0,3.773675762439807,1.0,0.041267903953556236,inf,0.7787291572780531,0.2118780096308186,1.0,0.6059390048154093
"frozenset({'Hematocrit=niski', 'Platelets=wysoki', 'Creatinine=średni-dolny'})",frozenset({'Disease=Anemia'}),0.05359421522756274,0.26499361973628244,0.05359421522756274,1.0,3.773675762439807,1.0,0.0393920901374855,inf,0.776629213483146,0.20224719101123595,1.0,0.601123595505618
"frozenset({'Creatinine=średni-dolny', 'LDL Cholesterol=średni-górny', 'Triglycerides=średni-górny'})",frozenset({'Disease=Anemia'}),0.05869842620161633,0.26499361973628244,0.05869842620161633,1.0,3.773675762439807,1.0,0.04314371776962698,inf,0.780840488025305,0.22150882825040127,1.0,0.6107544141252006
"frozenset({'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Red Blood Cells=niski', 'HbA1c=niski'})",frozenset({'Disease=Anemia'}),0.05444491705657167,0.26499361973628244,0.05444491705657167,1.0,3.773675762439807,1.0,0.04001736140950908,inf,0.7773279352226722,0.20545746388443017,1.0,0.6027287319422151
"frozenset({'Hematocrit=niski', 'Systolic Blood Pressure=średni-górny', 'Heart Rate=wysoki'})",frozenset({'Disease=Anemia'}),0.05614632071458953,0.26499361973628244,0.05614632071458953,1.0,3.773675762439807,1.0,0.041267903953556236,inf,0.7787291572780531,0.2118780096308186,1.0,0.6059390048154093
"frozenset({'Insulin=niski', 'Mean Corpuscular Volume=niski', 'Heart Rate=średni-górny'})",frozenset({'Disease=Anemia'}),0.05997447894512973,0.26499361973628244,0.05997447894512973,1.0,3.773675762439807,1.0,0.04408162467766234,inf,0.7819004524886878,0.2263242375601926,1.0,0.6131621187800963
"frozenset({'HDL Cholesterol=średni-górny', 'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Red Blood Cells=niski'})",frozenset({'Disease=Anemia'}),0.07230965546575925,0.26499361973628244,0.07230965546575925,1.0,3.773675762439807,1.0,0.05314805812200425,inf,0.7922971114167814,0.2728731942215088,1.0,0.6364365971107544
"frozenset({'White Blood Cells=średni-dolny', 'Mean Corpuscular Hemoglobin Concentration=średni-dolny', 'Diastolic Blood Pressure=średni-górny'})",frozenset({'Disease=Diabetes'}),0.05274351339855381,0.22968949383241175,0.05274351339855381,1.0,4.353703703703704,1.0,0.04062888250309696,inf,0.8132016165244724,0.22962962962962966,1.0,0.6148148148148148
"frozenset({'White Blood Cells=średni-górny', 'Diastolic Blood Pressure=wysoki', 'Insulin=średni-dolny'})",frozenset({'Disease=Anemia'}),0.05316886431305827,0.26499361973628244,0.05316886431305827,1.0,3.773675762439807,1.0,0.03907945450147371,inf,0.7762803234501348,0.20064205457463882,1.0,0.6003210272873194
"frozenset({'White Blood Cells=średni-górny', 'Diastolic Blood Pressure=wysoki'})","frozenset({'Disease=Anemia', 'Insulin=średni-dolny'})",0.05316886431305827,0.08464483198638877,0.05316886431305827,1.0,11.814070351758795,1.0,0.048668394726372355,inf,0.9667565139263253,0.6281407035175879,1.0,0.8140703517587939
"frozenset({'Diastolic Blood Pressure=wysoki', 'Heart Rate=średni-dolny', 'Mean Corpuscular Hemoglobin=wysoki'})",frozenset({'Disease=Thalasse'}),0.054870267971076137,0.21650361548277328,0.054870267971076137,1.0,4.618860510805502,1.0,0.042990656572829536,inf,0.828982898289829,0.25343811394891946,1.0,0.6267190569744597
"frozenset({'Diastolic Blood Pressure=wysoki', 'White Blood Cells=średni-dolny', 'Mean Corpuscular Hemoglobin=wysoki'})",frozenset({'Disease=Thalasse'}),0.05146746065504041,0.21650361548277328,0.05146746065504041,1.0,4.618860510805502,1.0,0.04032456934350678,inf,0.8260089686098656,0.23772102161100198,1.0,0.618860510805501
"frozenset({'Creatinine=średni-górny', 'LDL Cholesterol=średni-górny', 'HbA1c=średni-dolny'})",frozenset({'Disease=Healthy'}),0.052318162484049344,0.2364951084644832,0.052318162484049344,1.0,4.2284172661870505,1.0,0.03994517297272164,inf,0.8056552962298026,0.22122302158273385,1.0,0.6106115107913669
"frozenset({'Creatinine=średni-górny', 'LDL Cholesterol=średni-górny', 'Hematocrit=wysoki'})",frozenset({'Disease=Healthy'}),0.05019140791152701,0.2364951084644832,0.05019140791152701,1.0,4.2284172661870505,1.0,0.03832138545350531,inf,0.8038513210927005,0.21223021582733811,1.0,0.6061151079136691
"frozenset({'Insulin=niski', 'Creatinine=średni-dolny', 'Heart Rate=średni-górny'})",frozenset({'Disease=Anemia'}),0.061675882603147596,0.26499361973628244,0.061675882603147596,1.0,3.773675762439807,1.0,0.045332167221709505,inf,0.7833182230281052,0.23274478330658105,1.0,0.6163723916532905
"frozenset({'White Blood Cells=niski', 'Cholesterol=średni-dolny', 'Hemoglobin=niski'})",frozenset({'Disease=Anemia'}),0.051892811569544874,0.26499361973628244,0.051892811569544874,1.0,3.773675762439807,1.0,0.03814154759343834,inf,0.7752355316285329,0.1958266452648475,1.0,0.5979133226324238
"frozenset({'White Blood Cells=niski', 'Cholesterol=średni-dolny'})","frozenset({'Disease=Anemia', 'Hemoglobin=niski'})",0.051892811569544874,0.10421097405359421,0.051892811569544874,1.0,9.59591836734694,1.0,0.04648501112950298,inf,0.9448183041722745,0.49795918367346936,1.0,0.7489795918367347
"frozenset({'Troponin=średni-górny', 'White Blood Cells=niski', 'Cholesterol=średni-dolny'})",frozenset({'Disease=Anemia'}),0.051892811569544874,0.26499361973628244,0.051892811569544874,1.0,3.773675762439807,1.0,0.03814154759343834,inf,0.7752355316285329,0.1958266452648475,1.0,0.5979133226324238
